DIV;Condition;Complexity_index;Path_length_Min;Path_length_Max;Path_length_Mean;Path_length_SD;Path_length_Sum;Sholl_Ramification_index;Nb_primary_branches;Nb_terminal_branches;Nb_intersection;Ratio_len_intersection_total
DIV7;Condition 1;15847.7406;7.988225099;196.1214429;43.53774889;49.93507188;565.9907355;8.083937796;3;13;5;0.227387997
DIV7;Condition 1;9091.429489;8.6627417;221.4899854;56.39844596;53.02026006;733.1797975;7.645212571;5;13;2;0.107816712
DIV7;Condition 1;10512.19151;15.35391052;463.2447327;146.0026598;168.449393;876.015959;6;2;6;2;0.111963508
DIV7;Condition 1;32993.74633;6.9254834;244.072323;48.41342088;56.28982276;1403.989205;10.9932258;8;29;5;0.074405921
DIV7;Condition 1;14305.66241;7.753910524;201.8116016;42.57637623;48.06479833;681.2220197;9.495788819;4;16;1;
DIV7;Condition 1;1919.619029;9.988225099;156.4243866;52.16356057;45.23508316;417.3084846;8.438564423;5;8;1;
DIV7;Condition 1;42685.2513;6.5254834;275.1703894;40.23873615;55.00648268;965.7296675;10.31439523;5;24;5;0.157790143
DIV7;Condition 1;12689.85338;9.256854249;302.5340546;48.8071284;77.80807529;634.4926691;5.516235883;4;13;3;0.392945326
DIV7;Condition 1;26449.50382;8.885281374;150.8812409;33.96186932;32.63134831;747.161125;6.349765163;5;22;2;
DIV7;Condition 1;2837.77134;33.74213562;374.4301008;85.99307091;99.81368576;945.92378;9.232144049;9;11;7;0.373357228
DIV7;Condition 1;1617.475951;20.27939392;188.1263202;42.01236237;42.55825635;588.1730732;13.38418895;12;14;7;0.49017199
DIV7;Condition 1;2774.539699;23.4391919;240.7870417;65.09184044;59.84012962;716.0102448;8.308125718;8;11;3;0.322380107
DIV7;Condition 1;3021.068198;16.6509668;265.0213562;53.40272068;70.72241754;587.4299274;7.216161697;7;11;1;0.388498138
DIV7;Condition 1;1029.294174;28.97056275;129.5744299;50.03513344;32.7360988;400.2810676;7.078977118;7;8;1;0.339506173
DIV7;Condition 1;5123.000391;11.15979797;215.3831745;44.61248526;53.03295072;579.9623084;8.192949471;6;13;0;
DIV7;Condition 1;13087.8099;6.897056275;350.527157;58.7951927;74.95183047;1234.699047;10.38970296;10;21;2;0.302660407
DIV7;Condition 1;5626.813294;9.353910524;138.4881384;48.50701115;30.43101696;776.1121784;10.78388603;8;16;5;
DIV7;Condition 1;1702.989032;9.656854249;132.1116882;48.65682949;38.99217684;340.5978064;7.587748299;4;7;0;
DIV7;Condition 1;2406.286579;9.559797975;127.6195093;50.13097039;43.69079166;401.0477631;9.591718542;4;8;1;
DIV7;Condition 1;6920.130137;7.8627417;368.9673591;64.19415711;103.1287321;706.1357282;5.110334042;5;11;1;0.042476817
DIV7;Condition 2;30372.66113;14.95391052;307.4664356;61.0137829;65.76533165;1159.261875;7.701689122;5;19;2;
DIV7;Condition 2;5631.974753;19.39411255;154.5547473;65.99970414;48.15980865;527.9976331;6.987388745;3;8;1;0.53014038
DIV7;Condition 2;711.0701295;34.86173157;172.242049;88.88376618;58.76766406;355.5350647;5.182908873;4;4;1;
DIV7;Condition 2;26739.97851;8.9254834;136.2538239;32.76958151;39.17844251;393.2349781;4.570198468;1;12;0;
DIV7;Condition 2;351.191919;51.4156421;67.827417;58.5319865;8.420089134;175.5959595;3.054085698;3;3;0;
DIV7;Condition 2;3021.872437;16.67939392;142.5214429;53.9620078;40.85105797;377.7340546;5.058432905;3;7;0;
DIV7;Condition 2;7784.502867;24.81665222;232.1978064;76.31865556;61.14273214;915.8238667;8.722265721;6;12;0;
DIV7;Condition 2;2643.99578;17.4509668;144.8528137;50.98614453;36.57573326;560.8475898;7.975336498;7;11;1;
DIV7;Condition 2;44719.0933;8.428427125;316.69974;49.90970235;72.47572821;798.5552375;6.443690923;2;16;2;
DIV7;Condition 2;14504.77921;33.46761902;293.3291773;89.98001992;69.98656606;1169.740259;6.008258483;5;13;6;0.369908815
DIV7;Condition 2;20129.36681;11.75391052;332.4134485;41.24870247;64.00825554;989.9688594;9.206970006;9;24;1;
DIV7;Condition 2;2446.024847;32.97056275;244.4528137;94.07787873;101.0780736;376.3115149;5.380570476;2;4;0;
DIV7;Condition 2;70194.23228;44.06173157;467.0006635;143.2535353;119.7834129;2005.549494;13;3;14;7;0.37242049
DIV7;Condition 2;1165.4862;26.5019336;69.36366517;37.29555842;12.11446761;372.9555842;10.16349539;8;10;1;0.622516556
DIV7;Condition 2;24260.62856;14.9137085;172.3890619;67.39063488;50.0795254;808.6876185;7.381202154;2;12;4;
DIV7;Condition 2;570.8857716;24.71959595;208.8625684;95.14762859;99.4106424;285.4428858;4.18476599;3;3;2;0.134351949
DIV7;Condition 2;2700.371513;28.6509668;162.0645886;64.29455984;49.29368765;385.7673591;5.391649031;3;6;0;
DIV7;Condition 2;1710.450973;38.51858582;124.5401154;76.02004324;27.88526726;456.1202595;6.13236364;4;6;0;
DIV7;Condition 2;21644.21227;10.42842712;321.09974;68.15541425;67.64688559;1294.952871;7.357804817;7;19;1;
DIV7;Condition 2;7255.489418;30.43330445;233.9439826;84.85952536;64.30820903;763.7357282;5.958042705;4;9;2;0.495938844
DIV7;Condition 3;3018.024096;18.14213562;394.2457429;77.38523323;122.173632;696.4670991;6.321285211;6;9;0;
DIV7;Condition 3;2233.580446;25.25685425;142.9782971;55.49268189;39.70962513;388.4487732;5.296537607;4;7;0;
DIV7;Condition 3;7238.66089;21.27350647;192.190072;48.25773926;41.69781568;723.866089;7.601372869;7;15;2;0.170816445
DIV7;Condition 3;2473.449234;19.21665222;239.7027704;68.70692316;65.43679947;618.3623084;8.297837639;6;9;3;0.100646353
DIV7;Condition 3;1645.611399;27.3019336;283.1419623;73.13828438;85.31750615;658.2445594;8.161501226;8;9;2;
DIV7;Condition 3;195583.628;9.491168825;474.8544874;80.9534884;112.6793623;1295.255814;7.738482837;1;16;6;0.245278827
DIV7;Condition 3;6880.434676;12.3882251;318.2546607;73.71894296;101.3691;589.7515437;4.713244533;3;8;0;
DIV7;Condition 3;8749.364066;9.588225099;212.109668;58.68475898;55.35136546;1173.69518;12.06314633;11;20;8;
DIV7;Condition 3;10147.13917;39.06761902;792.2936793;213.6239826;324.0544842;1068.119913;2.537199161;2;5;2;0.154494783
DIV7;Condition 3;9779.563212;8.428427125;322.7066376;56.85792565;108.0732509;454.8634052;4.938722044;2;8;6;0.180633147
DIV7;Condition 3;8338.231982;8.856854249;216.7870417;55.29331553;58.28053032;718.8131019;10.83058024;5;13;3;0.514388489
DIV7;Condition 3;24110.40227;9.091168825;225.1155554;52.98989511;61.95385635;794.8484266;5.995091147;3;15;0;
DIV7;Condition 3;1789.622114;15.47939392;103.8607214;46.39761036;25.02702934;463.9761036;9.646205046;7;10;2;0.445555556
DIV7;Condition 3;16120.35656;6.028427125;457.9850214;129.1695237;139.255601;1550.034285;23;5;12;1;0.386740331
DIV7;Condition 3;13126.15287;25.9882251;306.1576044;76.76112789;77.17521451;921.1335347;6.187928889;4;12;3;0.507789318
DIV7;Condition 3;3364.514803;24.81665222;363.9898987;83.07443957;106.9471289;747.6699562;6.28710973;6;9;0;
DIV7;Condition 3;4119.825517;39.73036072;278.1340546;72.27764064;65.7463202;867.3316877;8.24014105;8;12;2;0.15755419
DIV7;Condition 3;8709.265482;10.35979797;188.8576911;43.49196246;40.84358925;782.8553242;8.432999489;8;18;1;
DIV7;Condition 3;7105.476358;6.19411255;244.6948627;56.39266951;62.02720053;789.4973732;7.338032096;7;14;2;0.076082005
DIV7;Condition 3;7609.923568;30.97056275;254.6233765;80.44316668;65.63780003;884.8748335;8.154597861;5;11;2;0.076099881
DIV4;Condition 1;5969.174248;6.940587362;132.5971529;27.80671233;26.96988981;583.940959;11.53069811;9;21;3;0.459821429
DIV4;Condition 1;8915.322696;9.631263207;299.0895249;48.62903288;88.33620969;486.2903288;4.228160877;3;10;1;0.262827612
DIV4;Condition 1;9012.849241;7.56951818;265.8101453;37.86911446;59.57366992;643.7749458;7.156322461;7;17;3;0.156025539
DIV4;Condition 1;14278.36821;7.98263406;400.5338422;47.99451498;84.63707468;959.8902995;8.765641375;8;20;5;0.173410405
DIV4;Condition 1;3321.535773;4.316956623;137.1561072;26.36139502;34.2952579;369.0595303;7.054476705;7;14;2;0.142754146
DIV4;Condition 1;13418.46511;11.78564952;204.1091937;34.4063208;48.11904741;516.094812;5.13598046;4;15;2;0.347107438
DIV4;Condition 1;4419.708754;10.72769167;220.8983838;37.88321789;45.17998335;757.6643578;13.58349851;12;20;1;0.52970297
DIV4;Condition 1;4089.047548;7.671724164;131.2025959;31.37376635;28.90659859;533.354028;9.49949477;9;17;3;0.211062591
DIV4;Condition 1;4252.376994;8.272830347;145.9410794;32.17435305;35.67485789;418.2665896;8.076909209;6;13;4;0.08114374
DIV4;Condition 1;610.8259459;26.95689656;93.0945597;43.63042471;23.90766281;305.412973;7.216796736;7;7;0;
DIV4;Condition 1;4783.439781;9.190392326;285.7120699;49.82749772;95.49610577;398.6199818;6.605544192;3;8;1;
DIV4;Condition 1;1204.91384;13.82863881;228.4801487;58.57220053;69.43784917;468.5776043;7.389403332;7;8;0;
DIV4;Condition 1;9993.436279;11.30351843;319.3116126;46.76073125;73.21960108;794.9324313;7.640525393;7;17;2;0.474810214
DIV4;Condition 1;1180.837071;14.90717722;161.6118708;36.54971887;36.9806196;511.6960641;13.5728037;13;14;3;
DIV4;Condition 1;2258.916828;7.276091457;120.3761164;33.09768246;27.70954446;430.269872;10.28131362;8;13;5;
DIV4;Condition 1;15033.82032;14.04064946;224.0179975;48.26266554;54.62485665;675.6773176;5.282582589;4;14;0;
DIV4;Condition 1;14621.42948;8.621732345;351.4733794;44.15444624;77.61961158;838.9344786;7.313162629;7;19;3;0.194411178
DIV4;Condition 1;1963.360493;20.80520747;62.62357325;36.7473889;13.02986365;404.221278;9.852670255;7;11;4;0.44092219
DIV4;Condition 1;1617.507824;8.16554384;230.0653753;36.76154145;61.06848778;441.1384974;9.5136579;9;12;1;0.166456494
DIV4;Condition 1;3351.809098;7.409705977;132.7770381;36.83306701;35.26821819;478.8298712;8.055510664;7;13;2;0.73347548
DIV4;Condition 2;1999.14048;9.164193592;221.7156968;38.07886628;58.11963506;456.9463954;8.682907995;8;12;3;0.10164108
DIV4;Condition 2;7086.898424;11.14963652;223.7234881;39.24706406;51.26826198;627.9530249;7.187961374;7;16;3;0.092243187
DIV4;Condition 2;14935.20063;4.815631603;173.6657;22.02831952;33.10131698;594.764627;9.185053839;9;27;1;0.605555556
DIV4;Condition 2;1733.007886;16.77840851;218.3197881;65.15067239;69.34155865;456.0547067;5.352018663;5;7;1;0.405956113
DIV4;Condition 2;2347.23983;13.81796399;360.5443698;55.06721009;101.5867562;605.739311;8.088454726;8;11;1;0.816326531
DIV4;Condition 2;1539.482268;15.89025928;229.3356982;52.05978684;67.45753972;468.5380816;7.182685234;7;9;0;0.159318937
DIV4;Condition 2;826.1744349;11.66774347;135.7261329;40.16125725;41.03687376;321.290058;7.029629909;7;8;2;0.232863393
DIV4;Condition 2;6019.228625;5.610103694;128.4087889;25.29087657;24.88062623;657.5627909;13.85960496;13;26;5;
DIV4;Condition 2;12858.5234;5.587613873;130.7830066;24.5204489;27.34334611;465.8885292;11.17767247;5;19;5;0.427821522
DIV4;Condition 2;1790.648168;6.089445182;185.8260857;33.50485138;46.26879814;435.5630679;10.17489997;9;13;1;
DIV4;Condition 2;7585.201484;6.744846596;176.1168291;23.11680452;35.96565325;485.452895;9.959127432;8;21;3;0.09311981
DIV4;Condition 2;1326.610233;12.7032115;321.1650967;64.48799744;104.6428799;515.9039796;7.563301385;7;8;2;
DIV4;Condition 2;4808.796144;10.06856743;298.0479126;45.36600136;73.98156782;635.1240191;7.255549329;7;14;4;0.435386927
DIV4;Condition 2;4300.671276;14.71821775;297.2999412;45.27022395;70.04736817;679.0533593;9.613640407;9;15;1;
DIV4;Condition 2;2069.441196;7.442126295;226.8523895;42.48119757;61.87671396;467.2931732;8.693429238;7;11;3;0.118453255
DIV4;Condition 2;9373.438685;5.985795515;229.3760072;35.10651193;55.52589192;526.5976789;5.397292055;5;15;2;0.27338827
DIV4;Condition 2;4743.093166;7.543320496;193.8280282;28.9212998;41.92776545;520.5833963;10.65175379;9;18;2;
DIV4;Condition 2;1479.922455;14.07306978;253.1927664;55.63618253;87.490592;389.4532777;5.390354162;5;7;0;
DIV4;Condition 2;3556.360593;8.087274267;197.6586292;35.72237203;44.55739306;571.5579525;11.98645371;9;16;3;0.113779302
DIV4;Condition 2;4175.163444;7.898314801;175.803497;35.59389125;37.63932928;605.0961513;10.14850744;10;17;2;0.251879699
DIV4;Condition 3;868.7810717;12.88382476;143.9380099;46.54184313;44.15885265;325.7929019;7.217504196;6;7;0;
DIV4;Condition 3;994.611105;13.88117472;190.1535797;40.68863611;52.8076489;406.8863611;9.496525978;9;10;0;
DIV4;Condition 3;4413.844944;11.31149772;136.8732472;34.14967074;35.5216561;375.6463782;6.721741152;4;11;1;0.486792453
DIV4;Condition 3;14064.46505;7.77607612;241.0976338;39.58104611;62.55467683;514.5535994;3.891985894;3;13;3;
DIV4;Condition 3;12234.86635;10.79047437;159.5517846;33.29215332;36.67999966;499.3822998;4.810369986;4;15;0;
DIV4;Condition 3;3253.146086;9.692223636;151.4612238;38.72792959;38.1521948;464.7351551;7.592749221;6;12;3;
DIV4;Condition 3;13483.0353;4.136415174;260.1784253;33.77997391;52.27390688;743.1594261;8.465103045;7;22;3;0.057233704
DIV4;Condition 3;1867.76853;6.482686031;169.4712574;37.14312418;45.45534213;408.574366;7.677941261;7;11;2;0.398406375
DIV4;Condition 3;6387.024662;4.45287097;178.7834144;30.8551916;35.19455297;709.6694069;15.48181145;11;23;5;0.116601888
DIV4;Condition 3;47934.0874;11.56846859;349.5127778;47.15137459;69.4309011;1084.481615;6.787904602;5;23;2;0.117814053
DIV4;Condition 3;2240.90748;19.83355227;330.1589425;50.30608629;80.8067775;704.2852081;13.36210209;11;14;4;0.152616735
DIV4;Condition 3;852.6888145;6.474404339;110.1644388;45.67975792;33.66986741;319.7583054;6.705846625;6;7;0;
DIV4;Condition 3;7864.766457;6.018215833;165.7696539;28.56452709;40.12482182;599.8550688;9.060572146;9;21;0;0.127644055
DIV4;Condition 3;3338.679751;5.529607009;183.199774;31.1734804;40.080264;529.9491668;10.8333159;10;17;2;0.1091355
DIV4;Condition 3;1744.664697;13.66273053;201.1073781;39.65147038;51.43479723;475.8176446;9.239571634;9;12;0;
DIV4;Condition 3;6242.536452;6.340789819;267.178071;35.82517333;61.12902556;609.0279466;8.052492729;8;17;1;0.057387057
DIV4;Condition 3;2268.441719;12.40485491;491.0781869;80.19743449;154.309731;721.7769104;8.27124613;7;9;2;0.336419753
DIV4;Condition 3;877.790942;7.308511776;82.06577765;23.95955425;19.58717799;311.4742052;11.09778175;11;13;2;0.341099916
DIV4;Condition 3;2655.028553;9.234459998;149.5928013;33.18785691;41.76030564;331.8785691;6.937358712;5;10;0;
DIV4;Condition 3;4439.152543;8.732422238;266.1739954;43.52110337;70.56732881;522.2532404;7.084022098;6;12;2;0.154511743
